file,block,new_advance,note
govern.txt,GOVERNMENT_COMMUNISM,DELETE_BLOCK,modern government; no Renaissance-cap equivalent
govern.txt,GOVERNMENT_CORPORATE_REPUBLIC,DELETE_BLOCK,modern government
govern.txt,GOVERNMENT_DEMOCRACY,DELETE_BLOCK,modern government; Republic survives as the elective form
govern.txt,GOVERNMENT_ECOTOPIA,DELETE_BLOCK,modern government
govern.txt,GOVERNMENT_FASCISM,DELETE_BLOCK,modern government
govern.txt,GOVERNMENT_TECHNOCRACY,DELETE_BLOCK,modern government
govern.txt,GOVERNMENT_VIRTUAL_DEMOCRACY,DELETE_BLOCK,modern government
tileimp.txt,TILEIMP_ADVANCED_FARMS,ADVANCE_INTERCHANGABLE_PARTS,"basic infrastructure — user: ""we don't have to lose basic tech like farm""; mundane and universal, never a sphere"
tileimp.txt,TILEIMP_ADVANCED_MINES,ADVANCE_ALCHEMY,keeps a mundane mining upgrade path above TILEIMP_MINES/ADVANCE_SLAVE_LABOR
tileimp.txt,TILEIMP_NATURE_PRESERVE,ADVANCE_NATURE_MAGIC,preserving wilderness is the Nature sphere's root act
tileimp.txt,TILEIMP_TERRAFORM_HILL,ADVANCE_NATURE_LORE,terrain-shaping is nature magic
tileimp.txt,TILEIMP_TERRAFORM_WHITE_HILL,ADVANCE_NATURE_LORE,terrain-shaping is nature magic
tileimp.txt,TILEIMP_TERRAFORM_BROWN_HILL,ADVANCE_NATURE_LORE,terrain-shaping is nature magic
tileimp.txt,TILEIMP_TERRAFORM_SWAMP,ADVANCE_NATURE_LORE,terrain-shaping is nature magic
tileimp.txt,TILEIMP_TERRAFORM_DESERT,ADVANCE_NATURE_LORE,vegetation terraform; base CTP2 gated it on AGRICULTURAL_REVOLUTION which is cut
tileimp.txt,TILEIMP_TERRAFORM_FOREST,ADVANCE_NATURE_LORE,vegetation terraform; base gate AGRICULTURAL_REVOLUTION is cut
